Fighter Name,Types,Base,strT,strVal,wkT,wkVal,rarity
Gearhead,C,1800,C,60,M,70,0
Gendo Ikari,I,1690,I,100,W,70,0
Gluttony Homunculus,EVG,1830,W,50,V,100,0
Gorgonzola,EV,1750,M,120,G,120,0
Greed Homunculus,MV,1850,M,130,G,110,0
Greed-Ling,MG,1870,M,70,V,70,0
Green Danky,ME,1710,E,70,W,70,0
Grendel,MV,1730,W,130,M,100,0
Groot,MG,1850,W,120,L,90,0
Hamlet,SM,1800,V,50,G,50,0
Hanami,VG,1890,R,70,E,130,0
Hancock,R,1860,V,80,M,50,0
Handel,MGI,1830,G,120,M,60,0
High Sorcerer,GR,1850,G,70,S,200,1
Horatio,W,1690,V,30,W,50,0
Hulk,M,1970,M,130,G,130,0
Invincible,SMA,2010,M,120,G,60,0
Iroh,FL,1900,F,50,W,50,0
Iron Man,SAREC,1960,R,100,I,70,0
Jerry Smith,W,1750,L,10,S,20,0
Jersey Devil,VFA,1760,R,70,W,120,0
Jogo,EFV,1910,F,180,W,150,0
Juliet Capulet,W,1720,F,150,V,100,0
Junpei Yoshino,G,1810,R,60,V,180,0
Katara,RW,1860,W,90,R,50,0
Kellogg,RI,1880,L,140,S,180,0
Kenjaku,MRGV,2000,E,80,M,50,0
Kento Nanami,MG,1910,G,70,F,120,0
King Bradley,MV,1890,M,200,G,140,0
Korra,SAWFE,1920,V,120,M,100,0
Lady Macbeth,V,1810,S,90,G,60,0
Lightning Dragon,LAR,1680,A,110,M,90,2
Lightning Giant,LE,1640,C,100,R,80,2
Lightning Soldier,LM,1630,W,90,M,120,2
Lightning Wizard,LGR,1730,G,60,E,50,2
Lilith,EG,1990,V,200,S,200,0
Ling Yao,M,1820,E,100,V,60,0
Loch Ness Monster,MW,1810,E,90,L,100,0
Loki,VG,1890,V,70,M,60,0
Lust Homunculus,MVG,1860,M,120,F,200,0
Macbeth,SV,1810,M,40,V,80,0
Maes Hughes,R,1760,V,100,R,120,0
Magic Giant,GE,1700,R,100,E,140,1
Magic Soldier,GM,1750,M,120,G,100,1
Mahito,VG,1950,M,120,S,160,0
Mai Zenin,RG,1840,R,60,M,40,0
Maki Zenin,MR,1850,M,70,G,50,0
Masamichi Yaga,G,1900,M,40,V,30,0
Mass-Produced EVA,MCA,1850,C,120,M,60,1
Mechamaru,CG,1840,C,110,V,110,0
Megumi Fushiguro,G,1940,M,50,V,80,0
Mei Mei,MG,1920,V,60,R,60,0
Mercutio,M,1740,W,50,M,120,0
Mickey Mouse,S,1750,V,20,W,20,0
Miles Morales,RL,1880,R,50,C,60,0
Minnie Mouse,W,1690,S,10,G,10,0
Mirelurk,MW,1810,F,80,V,60,12
Misato Katsuragi,RL,1700,W,70,R,90,0
Monster Girl,MG,1920,M,100,R,60,0
Morty Smith,SW,1820,V,50,M,50,0
Mothman,AV,1840,A,90,F,80,0
Mr. Meeseeks,M,1850,S,70,W,100,6
Mr. Poopy Butthole,M,1730,W,40,R,70,0
Muco,RV,1700,M,150,E,70,0
Nick Valentine,RC,1840,C,100,L,60,0
Night Summer,V,1800,L,20,F,60,0
Nobara Kugisaki,RG,1830,M,70,V,150,0
Odin,R,1920,S,60,V,60,0
Olivier Armstrong,MI,1910,I,170,F,100,0
Omniman,MA,2070,E,150,S,80,0
Orange Danky,IW,1700,M,120,F,150,0
Ozai,EFV,1940,F,100,S,190,0
Paladin Danse,RCL,1910,L,120,C,80,0
Paul Bunyan,M,1780,M,60,W,40,0
Phoenix Person,RCA,1940,R,120,M,150,0
Planetina,FAWE,1950,V,160,W,150,0
Preston Garvey,RL,1860,R,60,C,50,0
Pride Homunculus,MVG,1880,V,100,L,80,0
Purple Danky,IR,1590,I,50,V,50,0
Quicksilver,L,1830,F,50,E,50,0
Radroach,MA,1600,W,20,M,10,25
Raider,VR,1820,W,40,R,90,15
Ramiel,VGA,1920,G,100,R,130,0
Red Danky,RE,1630,R,70,M,130,0
Red Skull,RVG,1870,G,90,S,60,0
Rei Ayanami,I,1600,S,20,F,10,0
Rex Splode,E,1850,R,60,M,40,0
Rick Prime,VMRE,1980,R,140,S,170,0
Rick Sanchez,SMRE,2030,C,150,V,150,0
Riza Hawkeye,R,1800,R,120,F,40,0
Robot,C,1890,C,110,G,100,0
Rock Clown,MI,1680,I,70,F,70,0
Rocket Raccoon,R,1820,M,60,L,50,0
Romeo Montague,SMW,1820,W,150,V,100,0
Roy Mustang,FG,1940,V,150,W,200,0
Ryoji Kaji,RL,1750,L,80,R,120,0
Sachiel,VML,1880,E,110,S,150,0
Sahaquiel,VAE,1900,L,120,C,90,0
Sancho Panza,MR,1720,S,30,G,70,0
Satoru Gojo,SEG,2050,G,90,E,90,0
Scar Ishvalan,EGL,1900,E,90,G,70,0
Scarlet Witch,EG,1900,G,110,V,60,0
Shamshel,VMA,1840,F,80,M,140,0
Shapesmith,M,1840,E,40,M,30,0
Shinji Ikari,SW,1610,I,50,L,50,0
Shrink Rae,ME,1760,E,50,M,50,0
Silver Danky,M,1690,M,80,G,50,0
Skinwalker,MV,1770,M,60,L,80,0
Sky Dragon,AR,1670,L,40,F,80,2
Sky Giant,AE,1640,F,50,M,70,2
Sky Soldier,AM,1640,R,130,E,120,2
Sky Wizard,AGR,1620,I,50,G,90,2
Sloth Homunculus,MV,1840,R,60,M,50,0
Sokka,MR,1830,M,110,I,70,0
Sole Survivor,SRE,1900,R,120,I,150,0
Space Beth,RL,1860,R,110,F,80,0
Spider-Gwen,R,1850,A,60,L,40,0
Spiderman,SR,1930,A,150,L,80,0
Squanchy,MG,1830,G,90,L,50,0
Starlord,SAR,1830,R,90,I,150,0
Suguru Geto,MRG,1970,G,100,M,90,0
Sukuna,MEVG,2050,G,170,S,170,0
Summer Smith,F,1770,F,50,W,40,0
Super Mutant,VE,1870,V,110,R,50,15
Synth,VCL,1850,C,70,F,70,0
Tenzin,RA,1860,A,70,R,60,0
Thanos,VMREG,2060,S,30,E,60,0
The Immortal,M,1970,M,110,V,60,0
The Jokester,MVG,1760,F,80,V,60,0
Thor,SML,1990,G,120,V,150,0
Thunderbird,AL,1800,W,150,R,60,0
Toge Inumaki,REG,1890,V,80,E,60,0
Toji Fushiguro,MR,1960,M,150,G,100,0
Toph,ME,1880,E,170,A,150,0
Treeguy,MF,1670,F,60,I,60,0
Tybalt,MV,1720,M,70,F,110,0
Ultron,CV,1920,M,120,S,200,0
Uraume,VIG,1840,E,50,F,60,0
Van Hohenheim,G,1970,V,150,E,60,0
Venom,VR,1910,E,100,G,60,0
Vision,RCG,1890,R,60,M,90,0
War Machine,AREC,1850,E,70,A,40,0
Wendigo,IV,1790,I,120,G,90,0
Winry Rockbell,CR,1700,C,150,S,30,0
Wong,MG,1860,I,100,R,40,0
Wyvern,GAR,1800,M,90,G,120,1
Yao Guai,M,1890,M,70,L,90,4
Yellow Danky,MGL,1750,V,150,E,100,0
Yeti,MIV,1820,R,80,F,120,0
Yuji Itadori,SMG,1930,V,60,E,40,0
Yuta Okkotsu,MG,1990,V,160,E,70,0
Zeruel,VM,1910,E,160,S,160,0
Zoey,ML,1790,W,100,R,130,0
Zuko,RFL,1890,L,140,A,100,0
