Fighter Name,Types,Base,strT,strVal,wkT,wkVal,Rarity,Nation
Lady Macbeth,V,1810,S,90,G,60,0,Scotland
Hamlet,SM,1800,V,50,G,50,0,Denmark
Claudius,VM,1740,S,100,R,70,0,Denmark
Horatio,W,1690,V,30,W,50,0,Denmark
Mickey Mouse,S,1750,V,20,W,20,0,United States
Minnie Mouse,W,1690,S,10,G,10,0,United States
Paul Bunyan,M,1780,M,60,W,40,0,United States
Babe the Blue Ox,EW,1710,I,40,A,50,0,United States
Bigfoot,M,1860,L,70,W,70,0,United States
Mothman,AV,1840,A,90,F,80,0,United States
Jersey Devil,VFA,1760,R,70,W,120,0,United States
Skinwalker,MV,1770,M,60,L,80,1,United States
Wendigo,IV,1790,I,120,G,90,0,United States
Chupacabra,EV,1740,G,70,M,100,0,Mexico
Loch Ness Monster,MW,1810,E,90,L,100,0,Scotland
Yeti,MIV,1820,R,80,F,120,0,Nepal
Thunderbird,AL,1800,W,150,R,60,1,United States
*Rick and Morty,,,,,,,,
Rick Sanchez,SMRE,2030,C,150,V,150,0,Citadel of Ricks
Morty Smith,SW,1820,V,50,M,50,1,Citadel of Ricks
Beth Smith,L,1780,W,40,F,30,1,United States
Jerry Smith,W,1750,L,10,S,20,1,United States
Summer Smith,F,1770,F,50,W,40,1,United States
Bird Person,MA,1900,R,90,M,120,0,Galactic Federation
Mr. Poopy Butthole,M,1730,W,40,R,70,0,Galactic Federation
Night Summer,V,1800,L,20,F,60,0,United States
Planetina,FAWE,1950,V,160,W,150,0,United States
Mr. Meeseeks,M,1850,S,70,W,100,6,Galactic Federation
Rick Prime,VMRE,1980,R,140,S,170,0,United States
Space Beth,RL,1860,R,110,F,80,0,United States
Squanchy,MG,1830,G,90,L,50,0,Galactic Federation
Evil Morty,VW,1960,S,90,G,60,0,Citadel of Ricks
Gearhead,C,1800,C,60,M,70,0,Galactic Federation
Abrodolf Lincoler,CV,1810,V,50,M,50,0,Galactic Federation
Phoenix Person,RCA,1940,R,120,M,150,0,Galactic Federation
